,rat_id,subject_id,generation,genes,fitness_score
210,6a78d377-b503-45f4-a892-f4b581b9d79b,subject8,8,"['MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0000097', 'MP:0001191', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0001191']",7
211,0156dad4-e995-4dba-ba29-28e722bd3011,subject8,8,"['MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191']",10
212,cac76c73-c0bb-4d12-915f-4e45661c39c7,subject8,8,"['MP:0001191', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0001191', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097']",3
213,4b8b63ae-b402-4e2f-b5e6-084f4e8c48b6,subject8,9,"['MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191']",10
214,c3eab6f1-b9ca-4045-8b58-9eb1ec637f8d,subject8,9,"['MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191']",10
215,a3f3ecb6-bb40-4fe3-8188-a33dbb27d8e4,subject8,9,"['MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191', 'MP:0001191']",10
216,269be7f5-0417-4f94-98fd-421a5c70d23f,subject9,1,"['MP:0000085', 'MP:0000097', 'MP:0000091', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0001191', 'MP:0000021', 'MP:0000376', 'MP:0002276']",-1
217,463259f3-fce4-413f-acbd-cee6d1f2442b,subject9,1,"['MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000085', 'MP:0000021', 'MP:0000021']",-2
218,c913886f-ac3a-4d65-9699-17f4be8a54d9,subject9,1,"['MP:0002638', 'MP:0000021', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000091']",-1
219,f1d43b08-aabc-4b18-904d-cbc314c7a6bd,subject9,2,"['MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000097', 'MP:0000021']",-1
220,69a6e9db-ef7d-477b-9807-7648f749fade,subject9,2,"['MP:0000923', 'MP:0000085', 'MP:0000021', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0002638']",-2
221,d18bbcee-3f7f-459a-b2a4-e82a27e5b003,subject9,2,"['MP:0000085', 'MP:0000085', 'MP:0000097', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000021']",0
222,d6b7c154-ec7a-4496-92f1-765fbef328c7,subject9,3,"['MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000085']",0
223,bfae64f5-d00c-4332-b1a3-6a902e3fd633,subject9,3,"['MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000097', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000021']",0
224,73eb7d18-2e67-43a8-b444-bd2163e782c2,subject9,3,"['MP:0000021', 'MP:0002638', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000021']",-1
225,534e732a-ef32-4c65-8c22-5cc5382eb38c,subject9,4,"['MP:0000085', 'MP:0000085', 'MP:0002638', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000085', 'MP:0002638', 'MP:0000085', 'MP:0000085']",-1
226,95394e55-edea-4e14-b002-9707fcfdf749,subject9,4,"['MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000097', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000021']",0
227,79d8a36e-bd6f-49c8-8e31-a0e83b14c048,subject9,4,"['MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0002638', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000021']",0
228,504adc86-b634-4faf-9aa9-f90568aecb27,subject9,5,"['MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000085']",-1
229,0c4c1843-1f9c-4953-a889-b9799a659d74,subject9,5,"['MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000923', 'MP:0000085', 'MP:0000021', 'MP:0000923', 'MP:0000923']",-3
230,054f3e7b-7352-4029-a7bf-828f6a1b68e0,subject9,5,"['MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000021']",-1
231,fbe81695-38d7-40cf-a6b8-bd218f7233ee,subject9,6,"['MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000021']",-2
232,56fe5e16-6cf8-4d20-8866-dbc13cbc722a,subject9,6,"['MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000021']",0
233,9807258c-8e7f-4196-954c-5710769399eb,subject9,6,"['MP:0000021', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000085', 'MP:0000923', 'MP:0000021']",-3
234,1874ce59-9ae8-4e0f-a700-45fd87779975,subject9,7,"['MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000923', 'MP:0000923', 'MP:0000085', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000021']",-3
235,d673f7c6-8977-490e-b5fe-ea4274bbdb53,subject9,7,"['MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000923', 'MP:0000923', 'MP:0000085']",-3
236,e847baf9-e3c8-404c-b0d6-b8bfecb5fa60,subject9,7,"['MP:0000085', 'MP:0000021', 'MP:0000923', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085']",-1
237,40cbeda1-5b20-437c-a87b-e1a8fd2ef4fc,subject9,8,"['MP:0000021', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000021', 'MP:0000923', 'MP:0000021', 'MP:0000923']",-2
238,59c15451-2839-43d8-a9c9-ba2bb7749bc1,subject9,8,"['MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000021', 'MP:0000923', 'MP:0000923', 'MP:0000923']",-4
239,8a20c046-4cf4-424d-8020-96df68a70dc2,subject9,8,"['MP:0000923', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000085', 'MP:0000085', 'MP:0000923', 'MP:0000021']",-2
240,96f616c1-53f5-4933-b10b-d22d62bcd84d,subject9,9,"['MP:0000021', 'MP:0000021', 'MP:0000923', 'MP:0000021', 'MP:0000923', 'MP:0000085', 'MP:0000021', 'MP:0000021', 'MP:0000021', 'MP:0000085']",-2
241,4fb98e7c-b854-4cc6-9fa4-e3d6b970df74,subject9,9,"['MP:0000021', 'MP:0000021', 'MP:0000085', 'MP:0000021', 'MP:0000085', 'MP:0000021', 'MP:0000923', 'MP:0000021', 'MP:0000085', 'MP:0000085']",-1
242,02589e41-32d3-4c91-81a0-74638113bb9b,subject9,9,"['MP:0000021', 'MP:0000021', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000085', 'MP:0000923', 'MP:0000085', 'MP:0000085', 'MP:0000021']",-4
