,rat_id,subject_id,generation,genes,fitness_score
0,a7ea86e0-604c-47cc-95f9-b8d6e128a331,subject1,1,"['MP:0000376', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000923', 'MP:0002638', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0002276']",-5
1,4e8d8679-252f-493e-806d-ed9bb9c0e9f2,subject1,1,"['MP:0000923', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000376', 'MP:0000091', 'MP:0002276', 'MP:0000097', 'MP:0000091', 'MP:0000091']",-3
2,8dbdd062-b00c-4560-ae06-4fb13243cafb,subject1,1,"['MP:0000091', 'MP:0000923', 'MP:0000097', 'MP:0001191', 'MP:0000376', 'MP:0000091', 'MP:0001191', 'MP:0000097', 'MP:0000091', 'MP:0000091']",1
3,934722c0-ed2c-48ef-b499-14b75fd2b533,subject1,2,"['MP:0000376', 'MP:0002638', 'MP:0000376', 'MP:0000091', 'MP:0000923', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000091']",-2
4,40468c8d-2f74-4dcb-85ac-c87bcfc430fe,subject1,2,"['MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000097']",0
5,b40402c4-78c2-4825-842e-f3acaa227a5e,subject1,2,"['MP:0001191', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0002276', 'MP:0000091']",-1
6,1ea149aa-9a6a-4250-b37b-4d685df1e75c,subject1,3,"['MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",0
7,d68bb518-fdce-48c3-9bb7-f149128cbbc5,subject1,3,"['MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000097', 'MP:0000097', 'MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000097']",-6
8,459f9c5a-3004-4f24-91fd-aa4a8fc30572,subject1,3,"['MP:0002638', 'MP:0000097', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000091']",-4
9,f5723fdf-05ac-41f9-a7e8-abaafc14fd78,subject1,4,"['MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0002638', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091']",-4
10,83d62077-a81a-4ee6-9511-343d37f4abcd,subject1,4,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000923', 'MP:0000091']",-4
11,d7f5337f-a2e2-4e37-a84c-e9fd938986e4,subject1,4,"['MP:0002276', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",-2
12,59b66c64-ef89-4b73-bdaf-d04d9c695072,subject1,5,"['MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0002638', 'MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",-4
13,982a680e-4355-4c8f-b500-1b35e3d73ade,subject1,5,"['MP:0000923', 'MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0002276', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091']",-4
14,dd4380a8-8e79-411f-ace5-35a80f26d259,subject1,5,"['MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",0
15,b06ea4cd-4fd9-4e00-ad7d-f8f5996be73c,subject1,6,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000097', 'MP:0000091']",-1
16,f0f6eced-5ef0-4de4-8f99-0ebb267ab86d,subject1,6,"['MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",-2
17,7e131066-c0e2-420d-85a9-0cee7705a9ac,subject1,6,"['MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091']",-1
18,f7e1cd5b-b18a-4433-976c-9c45e54490b7,subject1,7,"['MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097']",0
19,1ebaf090-6e82-4ab5-aa0b-c97ed83fb6a4,subject1,7,"['MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000923', 'MP:0000091', 'MP:0000091']",-2
20,9e3551bf-f08e-44dc-833d-c18dc91a8dfc,subject1,7,"['MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091']",-1
21,c9a672a2-cc2e-4098-9cc5-3fdc99e89734,subject1,8,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000923', 'MP:0000091']",-1
22,ef8ff589-ee1e-4566-bbf8-ed7db060bea6,subject1,8,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000923', 'MP:0000091']",-1
23,117965ad-cc3d-4ae8-a947-56b67dcb9859,subject1,8,"['MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091']",0
24,84257d36-45b8-4a78-ad3a-476506487f70,subject1,9,"['MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000923', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097']",-1
25,2c84992e-361b-42f2-9a45-38d807ff4e50,subject1,9,"['MP:0000091', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000097', 'MP:0000097']",0
26,42dff86b-a897-4a83-a5f1-dd95da6e4ade,subject1,9,"['MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000097', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091', 'MP:0000091']",0
